symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
DGSE,"DGSE Companies, Inc.",0.43,$11.58M,NA,Consumer Services,Consumer Specialties
DSS,"Document Security Systems, Inc.",0.94,$15.8M,NA,Consumer Durables,Containers/Packaging
DPW,"DPW Holdings, Inc.",0.1065,$7.98M,NA,Capital Goods,Industrial Machinery/Components
DMF,"Dreyfus Municipal Income, Inc.",7.8,$161.82M,1988,NA,NA
DXF,Dunxin Financial Holdings Limited,2.54,$52.92M,NA,Consumer Non-Durables,Apparel
GRF,"Eagle Capital Growth Fund, Inc.",7.299,$27.21M,NA,NA,NA
EVM,Eaton Vance California Municipal Bond Fund,10.34,$262.45M,2002,NA,NA
CEV,Eaton Vance California Municipal Income Trust,11.57,$82.54M,1999,NA,NA
EVV,Eaton Vance Limited Duration Income Fund,12.21,$1.42B,2003,NA,NA
MMV,Eaton Vance Massachusetts Municipal Income Trust,12.65,$34.62M,1999,NA,NA
EIM,Eaton Vance Municipal Bond Fund,11.43,$817.03M,2002,NA,NA
EIV,Eaton Vance Municipal Bond Fund II,11.33,$113.45M,2002,NA,NA
